time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average.1,Gaussian Moving Average.2,Unnamed: 12,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ticker
1402320600,79.4,79.93,76.8,77.64,,79.93,76.8,77.64,70.46804311935321,69.70101762444045,69.70101762444045,69.70101762444045,4764631.0,75.80700000000009,73.91920019999999,,53.622446739176,50.479309943429215,,,,,,,FLR
1402925400,77.27,78.81,76.125,78.52,,78.81,76.125,78.52,70.5330836898131,69.9285949893279,69.9285949893279,69.9285949893279,6302670.0,76.21200000000009,74.3178002,,55.22649959483939,51.00906034332365,,,,,,,FLR
1403530200,78.44,79.12,75.56,76.88,,79.12,75.56,76.88,70.62595955815655,70.13547490442532,70.13547490442532,70.13547490442532,3998058.0,76.11300000000008,74.62559999999999,,51.64175904776662,50.986318093903535,,,,,,,FLR
1404135000,77.07,79.2,76.24,78.99,,79.2,76.24,78.99,70.74965711978113,70.32247027770457,70.32247027770457,70.32247027770457,3215987.0,76.43900000000009,74.94859999999998,,55.6320356764251,51.277515099773,,,,,,,FLR
1404739800,78.54,78.99,76.56,77.0,,78.99,76.56,77.0,70.88777767093433,70.49049694309501,70.49049694309501,70.49049694309501,4734259.0,76.59400000000008,75.25659979999999,,51.33013644826702,51.096816797179606,,,,,,,FLR
1405344600,77.71,78.6399,76.26,76.76,,78.6399,76.26,76.76,71.06590096917293,70.6478981409693,70.6478981409693,70.6478981409693,4628950.0,76.76000000000008,75.46119979999999,,50.81973659672212,51.32449175463499,,,,,,,FLR
1405949400,76.85,78.28,75.55,76.02,,78.28,75.55,76.02,71.28636614384862,70.8061521718652,70.8061521718652,70.8061521718652,5142226.0,77.04000000000008,75.66199979999999,,49.19542987362209,50.99787299398303,,,,,,,FLR
1406554200,76.0,76.17,72.77,73.25,,76.17,72.77,73.25,71.59657189609185,70.98522126543868,70.98522126543868,70.98522126543868,7358190.0,76.95400000000008,75.80319979999999,,43.58031403311565,50.55274958109333,,,,,,,FLR
1407159000,73.22,73.27,70.8197,72.21,,73.27,70.8197,72.21,71.96287202359507,71.19890628206852,71.19890628206852,71.19890628206852,6564316.0,76.66700000000007,75.9257998,,41.65780412122746,50.006812463788656,,,,,,,FLR
1407763800,72.79,73.65,71.95,72.25,,73.65,71.95,72.25,72.30739481130078,71.44573599395892,71.44573599395892,71.44573599395892,3642971.0,75.95200000000008,76.1022,75.95200000000008,41.76421340340179,49.51645496882003,,,,,,,FLR
1408368600,73.03,74.6,72.98,73.93,,74.6,72.98,73.93,72.74853915052968,71.73874172099583,71.73874172099583,71.73874172099583,3836599.0,75.58100000000007,76.2892,,46.2022872840764,49.59686168505444,,,,,,,FLR
1408973400,74.4,75.52,73.56,73.89,,75.52,73.56,73.89,73.04262941540529,72.04911164988897,72.04911164988897,72.04911164988897,4769583.0,75.11800000000008,76.4227998,,46.11218088434513,49.5299627287613,,,,,,,FLR
1409664600,73.74,74.8,72.2701,73.65,,74.8,72.2701,73.65,73.39393680975044,72.37937059936714,72.37937059936714,72.37937059936714,3507346.0,74.79500000000007,76.45559999999999,,45.53832198825504,49.26911537990724,,,,,,,FLR
1410183000,73.56,73.69,69.58,69.99,,73.69,69.58,69.99,73.68258686245136,72.71277146298277,72.71277146298277,72.71277146298277,8296524.0,73.89500000000007,76.43440000000001,,37.81051043307341,47.86669115173665,,,,,,,FLR
1410787800,69.96,70.94,69.265,70.27,,70.94,69.265,70.27,73.97864442130673,73.04429074165024,73.04429074165024,73.04429074165024,6855381.0,73.22200000000007,76.4024,,38.66799885355476,46.79851630276371,,,,,,,FLR
1411392600,69.79,70.09,66.7,67.65,,70.09,66.7,67.65,73.88748910664818,73.30780709282597,73.30780709282597,73.30780709282597,10610371.0,72.31100000000006,76.2958,,33.95075190575524,45.2788200392577,,,,,,,FLR
1411997400,66.89,67.89,65.18,66.0,,67.89,65.18,66.0,73.63972332556045,73.47649950941373,73.47649950941373,73.47649950941373,9164732.0,71.30900000000007,76.072,,31.356391379177825,43.82986520578707,,,,,,,FLR
1412602200,66.3,66.54,62.87,62.88,,66.54,62.87,62.88,72.46125563489456,73.40402714308937,73.40402714308937,73.40402714308937,8446563.0,70.27200000000008,75.80340000000001,,27.134070682924985,41.79429627767992,,,,,,,FLR
1413207000,63.06,63.9,59.32,62.25,,63.9,59.32,62.25,72.13847012827891,73.23275650583243,73.23275650583243,73.23275650583243,9579714.0,69.27600000000008,75.55040000000001,,26.36214321773828,40.01086818978501,,,26.36214321773828,,,,FLR
1413811800,61.97,65.12,61.51,64.95,,65.12,61.51,64.95,72.12924548167827,73.02524201290457,73.02524201290457,73.02524201290457,9391589.0,68.54600000000008,75.29100000000001,,34.908720917106805,38.874367069812486,,,,,,,FLR
1414416600,64.9,67.38,64.32,66.34,,67.38,64.32,66.34,72.11905000740856,72.80043867347365,72.80043867347365,72.80043867347365,9580307.0,67.78700000000008,75.0306,,38.843917927499874,38.13497335937518,,,,,,,FLR
1415025000,66.52,66.97,63.632,66.29,,66.97,63.632,66.29,72.10330838461883,72.5802575936354,72.5802575936354,72.5802575936354,9176226.0,67.02700000000009,74.78380000000001,,38.75315872555701,37.79017655169242,,,,,,,FLR
1415629800,66.34,66.95,64.37,64.7,,66.95,64.37,64.7,72.08390177544506,72.38731480986756,72.38731480986756,72.38731480986756,7653138.0,66.13200000000009,74.5216,,35.88200683350007,37.37761960256904,,,,,,,FLR
1416234600,64.63,69.69,63.5,69.24,,69.69,63.5,69.24,72.06028228592436,72.2386664545494,72.2386664545494,72.2386664545494,9991435.0,66.05700000000007,74.35820000000001,,47.7790099327303,37.8072479260925,,,,,47.7790099327303,,FLR
1416839400,69.53,69.56,61.79,61.99,,69.56,61.79,61.99,71.88028819352805,72.11586969656283,72.11586969656283,72.11586969656283,10073220.0,65.22900000000007,74.1022,,36.22096239618347,37.094296148385865,,,,,,,FLR
1417444200,61.1,63.69,58.41,62.39,,63.69,58.41,62.39,71.82941777600011,72.03173411642058,72.03173411642058,72.03173411642058,13631855.0,64.70300000000007,73.7626,,37.12468300441303,36.452332014105,,,,,,,FLR
1418049000,62.05,62.17,56.22,56.88,,62.17,56.22,56.88,69.1880098550202,71.55693451668233,71.55693451668233,71.55693451668233,14928050.0,63.79100000000008,73.305,,30.67648811938814,35.39077245204308,,,30.67648811938814,,,,FLR
1418653800,57.35,60.43,55.6,59.9,,60.43,55.6,59.9,69.1194108207973,71.08478371019194,71.08478371019194,71.08478371019194,17515116.0,63.49300000000007,72.92000000000002,,37.1227637658195,35.341647690096366,,,,,,,FLR
1419258600,60.11,61.33,58.84,60.53,,61.33,58.84,60.53,69.05407820001061,70.6174347179041,70.6174347179041,70.6174347179041,5761145.0,63.32100000000007,72.5526,,38.40941527473908,35.32317743446668,,,,,,,FLR
1419863400,60.84,62.09,59.92,60.69,,62.09,59.92,60.69,68.99753152907347,70.1715099643657,70.1715099643657,70.1715099643657,5766533.0,62.89500000000008,72.1254,,38.75220050122069,35.66613804842849,,,,,38.75220050122069,,FLR
1420468200,59.97,60.04,57.12,57.71,,60.04,57.12,57.71,68.91663924590873,69.76419516460534,69.76419516460534,69.76419516460534,9637098.0,62.03200000000008,71.73,,34.86063755684364,35.9164413468332,,,,,,,FLR
1421073000,57.53,57.69,52.44,54.03,,57.69,52.44,54.03,67.39544807606732,69.18803294606252,69.18803294606252,69.18803294606252,12334258.0,60.80600000000008,71.2914,,30.753506428153926,36.1749724714924,,,,,,,FLR
1421764200,53.89,56.0,53.3801,54.31,,56.0,53.3801,54.31,67.30675286849744,68.68777181542443,68.68777181542443,68.68777181542443,9347309.0,59.76700000000008,70.8334,,31.41560620826044,36.53593411367255,,,,,,,FLR
1422282600,54.29,55.23,51.8,53.59,,55.23,51.8,53.59,67.00100653641951,68.23669318983376,68.23669318983376,68.23669318983376,11642463.0,58.20200000000008,70.3118,,30.605241323900543,36.22854271415782,,,30.605241323900543,,,,FLR
1422887400,53.97,57.1,53.84,55.08,,57.1,53.84,55.08,66.91538266891462,67.86420237788758,67.86420237788758,67.86420237788758,10945386.0,57.51100000000007,69.8296,,34.377704773148665,35.90952748884702,,,,,,,FLR
1423492200,55.2,58.309,54.67,57.78,,58.309,54.67,57.78,66.83409439165202,67.5532285890788,67.5532285890788,67.5532285890788,8601382.0,57.05000000000007,69.4314,,40.67164817905402,36.04656244981109,,,,,,,FLR
1424183400,57.53,60.19,57.23,59.33,,60.19,57.23,59.33,66.74723866675271,67.28454574991095,67.28454574991095,67.28454574991095,10708618.0,57.29500000000007,69.02420000000001,,43.99264960456074,36.62589407631543,,,,,43.99264960456074,,FLR
1424701800,58.87,59.92,57.54,58.0,,59.92,57.54,58.0,66.64527985599166,67.05851969777498,67.05851969777498,67.05851969777498,9718551.0,57.10500000000008,68.69760000000001,,41.82899072939042,36.2008927046483,,,,,,,FLR
1425306600,57.96,58.77,57.13,57.29,,58.77,57.13,57.29,66.53903268278722,66.87918597205227,66.87918597205227,66.87918597205227,6115591.0,56.78100000000006,68.311,,40.678804295588414,36.519309983177216,,,,,,,FLR
1425907800,57.3,58.0,56.1101,56.69,,58.0,56.1101,56.69,66.52464285368897,66.75593221904876,66.75593221904876,66.75593221904876,6466877.0,56.38100000000007,67.9166,,39.68568298997067,36.70223855357419,,,,,,,FLR
1426512600,56.68,58.66,56.39,57.29,,58.66,56.39,57.29,66.51467819973102,66.67381476505221,66.67381476505221,66.67381476505221,7096504.0,56.33900000000007,67.5092,,41.23082499010869,37.45611975862565,,,,,,,FLR
1427117400,57.27,58.488,56.33,56.76,,58.488,56.33,56.76,66.50504650288586,66.61431148078081,66.61431148078081,66.61431148078081,4520050.0,56.61200000000007,67.15500000000002,,40.24993022268139,37.67948879125864,,,,,,,FLR
1427722200,57.1,58.23,56.22,57.59,,58.23,56.22,57.59,66.4979325875023,66.57039213608203,66.57039213608203,66.57039213608203,4757265.0,56.94000000000008,66.74940000000001,,42.55477271130416,37.97558575101329,,,,,,,FLR
1428327000,57.49,59.58,57.41,59.13,,59.58,57.41,59.13,66.48294555518727,66.53721410486709,66.53721410486709,66.53721410486709,6187296.0,57.49400000000007,66.41740000000001,,46.665673199902365,38.54083380091913,,,,,,,FLR
1428931800,58.02,62.26,57.95,59.52,,62.26,57.95,59.52,66.46621484471297,66.51221738159462,66.51221738159462,66.51221738159462,7630408.0,57.93800000000008,66.09880000000003,,47.68666900020608,39.456978904016445,,,,,,,FLR
1429536600,59.71,61.07,59.19,60.11,,61.07,59.19,60.11,66.44561403767082,66.4925413909181,66.4925413909181,66.4925413909181,5504734.0,58.171000000000085,65.79900000000002,,49.26887744544846,40.77950540525177,,,,,49.26887744544846,,FLR
1430141400,60.4,61.36,57.93,58.7,,61.36,57.93,58.7,66.43238980324334,66.47672081348732,66.47672081348732,66.47672081348732,8217448.0,58.10800000000008,65.50860000000002,,45.71075033526833,41.80058712860948,,,,,,,FLR
1430746200,58.86,59.92,58.284,59.66,,59.92,58.284,59.66,66.41259456348453,66.46131943182588,66.46131943182588,66.46131943182588,6701249.0,58.27400000000008,65.21960000000001,,48.44092667293449,43.07456465354047,,,,,,,FLR
1431351000,59.64,60.62,58.77,59.23,,60.62,58.77,59.23,66.38522017367035,66.44376266194992,66.44376266194992,66.44376266194992,6457279.0,58.46800000000009,64.90260000000002,,47.293666932908735,43.99713337923762,,,,,,,FLR
